symptoms,medicine
"itching, diarrhea, cough",Neem Tablets
"vomiting, insomnia, joint pain, sore throat",Neem Tablets
"joint pain, dizziness",Peppermint Oil
"depression, stress",Amla Tablets
"itching, joint pain, sore throat, skin rash",Moringa Powder
"sore throat, joint pain, fatigue",Triphala Juice
"itching, headache",Tulsi Extract
"nausea, headache",Tulsi Extract
"stress, back pain, sore throat",Arjuna Bark
"depression, diarrhea, itching, anxiety",Neem Tablets
"vomiting, sore throat",Fenugreek Seeds
"acne, sore throat, nausea",Licorice Root
"nausea, fatigue, fever, depression",Ginger Powder
"nausea, headache, stress, cough",Tulsi Extract
"acne, back pain",Brahmi Syrup
"muscle pain, stress",Ginger Powder
"headache, anxiety",Moringa Powder
"muscle pain, dizziness, nausea",Ginger Powder
"sore throat, itching, fever, muscle pain",Triphala Juice
"fever, nausea",Fenugreek Seeds
"vomiting, joint pain, constipation",Neem Tablets
"joint pain, diarrhea",Brahmi Syrup
"depression, cough, fatigue",Neem Tablets
"skin rash, insomnia, nausea",Brahmi Syrup
"headache, stress",Licorice Root
"fever, stress, itching",Brahmi Syrup
"vomiting, stress, nausea",Amla Tablets
"dizziness, vomiting, nausea, muscle pain",Brahmi Syrup
"itching, sore throat, joint pain, dizziness",Amla Tablets
"insomnia, fever",Neem Tablets
"skin rash, acne",Arjuna Bark
"diarrhea, anxiety, acne",Ginger Powder
"fatigue, insomnia, cough, vomiting",Peppermint Oil
"joint pain, depression, diarrhea",Triphala Juice
"itching, dizziness, anxiety",Neem Tablets
"dizziness, headache, diarrhea, skin rash",Turmeric Capsules
"constipation, stress, sore throat",Moringa Powder
"fever, anxiety",Triphala Juice
"sore throat, muscle pain",Peppermint Oil
"diarrhea, back pain, skin rash",Brahmi Syrup
"muscle pain, stress, dizziness, vomiting",Shatavari Capsules
"anxiety, acne",Brahmi Syrup
"itching, stress, nausea, muscle pain",Triphala Juice
"itching, depression, dizziness, vomiting",Moringa Powder
"acne, insomnia",Chamomile Tea
"joint pain, diarrhea",Moringa Powder
"back pain, fever, joint pain",Fenugreek Seeds
"itching, stress, joint pain, anxiety",Fenugreek Seeds
"depression, anxiety, acne",Arjuna Bark
"itching, acne, fatigue, constipation",Arjuna Bark
"insomnia, muscle pain, itching, nausea",Triphala Juice
"stress, depression, back pain",Fenugreek Seeds
"joint pain, back pain, skin rash, cough",Amla Tablets
"vomiting, nausea, cough, anxiety",Amla Tablets
"headache, skin rash, cough, itching",Shatavari Capsules
"itching, fever",Amla Tablets
"back pain, cough",Neem Tablets
"nausea, fever, insomnia, fatigue",Shatavari Capsules
"muscle pain, constipation, anxiety, back pain",Shatavari Capsules
"stress, sore throat",Ginger Powder
"fever, joint pain",Chamomile Tea
"skin rash, anxiety",Tulsi Extract
"cough, dizziness, vomiting",Shatavari Capsules
"stress, diarrhea, back pain, insomnia",Chamomile Tea
"fever, constipation",Tulsi Extract
"fatigue, back pain, stress",Arjuna Bark
"itching, diarrhea, stress, sore throat",Ashwagandha Capsules
